 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
53,34250,2,2,90,162,45,45,45,0,81,81,81,0,7357.664234,116.7883212,11416.66667,19769.9166,34245,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,64,64,58.39416058,58.39416058,45,81,59.4,19.71801207,388.8,0,0,0,0,0,0,0,0,1,74.25,45,81,64,0,0,0,0,0,0,2,90,2,162,-1,-1,1,32,0,0,0,0,0,0,0,0
53,60847,2,2,66,364,33,33,33,0,182,182,182,0,7066.905517,65.73865597,20282.33333,35085.00605,60795,3,49,49,0,49,49,3,3,0,3,3,0,0,0,0,64,64,32.86932799,32.86932799,33,182,92.6,81.61066107,6660.3,0,0,0,0,0,0,0,0,1,115.75,33,182,64,0,0,0,0,0,0,2,66,2,364,-1,-1,1,32,0,0,0,0,0,0,0,0
53,202,2,2,70,102,35,35,35,0,51,51,51,0,851485.1485,19801.9802,67.33333333,111.428602,196,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,80,80,9900.990099,9900.990099,35,51,41.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,51.75,35,51,80,0,0,0,0,0,0,2,70,2,102,-1,-1,1,40,0,0,0,0,0,0,0,0
53,296,2,2,90,122,45,45,45,0,61,61,61,0,716216.2162,13513.51351,98.66666667,167.4345643,292,1,3,3,0,3,3,1,1,0,1,1,0,0,0,0,64,64,6756.756757,6756.756757,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,64,0,0,0,0,0,0,2,90,2,122,-1,-1,1,32,0,0,0,0,0,0,0,0
53,376,2,2,90,206,45,45,45,0,103,103,103,0,787234.0426,10638.29787,125.3333333,177.9391282,329,0,0,0,0,0,0,47,47,0,47,47,0,0,0,0,40,64,5319.148936,5319.148936,45,103,68.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,85.25,45,103,40,0,0,0,0,0,0,2,90,2,206,-1,-1,1,20,0,0,0,0,0,0,0,0
53,245,2,2,90,122,45,45,45,0,61,61,61,0,865306.1224,16326.53061,81.66666667,133.6650041,236,3,3,3,0,3,3,6,6,0,6,6,0,0,0,0,40,52,8163.265306,8163.265306,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0,0,0,0,0,0,0,0
53,281,2,2,90,122,45,45,45,0,61,61,61,0,754448.3986,14234.87544,93.66666667,120.1929005,230,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,7117.437722,7117.437722,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,64,0,0,0,0,0,0,2,90,2,122,-1,-1,1,32,0,0,0,0,0,0,0,0
53,268,2,2,90,206,45,45,45,0,103,103,103,0,1104477.612,14925.37313,89.33333333,152.9978213,266,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,7462.686567,7462.686567,45,103,68.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,85.25,45,103,64,0,0,0,0,0,0,2,90,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0
53,207,2,2,90,122,45,45,45,0,61,61,61,0,1024154.589,19323.6715,69,116.0517126,203,1,3,3,0,3,3,1,1,0,1,1,0,0,0,0,64,64,9661.835749,9661.835749,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,64,0,0,0,0,0,0,2,90,2,122,-1,-1,1,32,0,0,0,0,0,0,0,0
53,368,2,2,90,206,45,45,45,0,103,103,103,0,804347.8261,10869.56522,122.6666667,171.6459534,319,1,1,1,0,1,1,48,48,0,48,48,0,0,0,0,64,64,5434.782609,5434.782609,45,103,68.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,85.25,45,103,64,0,0,0,0,0,0,2,90,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0
53,289,2,2,90,122,45,45,45,0,61,61,61,0,733564.0138,13840.83045,96.33333333,112.3269039,221,3,3,3,0,3,3,65,65,0,65,65,0,0,0,0,40,64,6920.415225,6920.415225,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0,0,0,0,0,0,0,0
